chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,algo_counts_Ed25519,algo_distribution_Ed25519,block_time_ms,mempool_final_size_bytes,mempool_final_tx_count,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,total_tx_generated,verification_failures,algo_counts_Falcon-512,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_Falcon-512,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.3,6,25,296330.24,210.24,153.70526023487236,238.84651639309516,255.84181765911566,0.0,525.6,5.4164,29.5566,0.0,3682,0.7005327245053272,400,0,0,5256,0,0,5256,0,1123,315,136,0.2136605783866058,0.059931506849315065,0.0258751902587519
solana,0.3,7,25,299555.36,209.24,188.15072294047553,269.3972746414503,287.9354471008922,0.04,523.1,5.763,24.7118,0.0,3627,0.693366469126362,400,0,0,5231,0,0,5231,0,1160,302,142,0.22175492257694512,0.05773274708468744,0.02714586121200535
solana,0.3,8,25,307325.68,210.96,179.08932148183015,253.83595052053323,265.67027651984773,0.04,527.4,5.8729,29.9248,0.0,3734,0.708001516875237,400,0,0,5274,0,0,5274,0,1067,317,156,0.20231323473644292,0.06010618126659082,0.02957906712172924
solana,0.3,9,25,296668.92,208.36,157.5878536214414,245.92195228349934,262.06479763139777,0.0,520.9000000000001,4.7581,29.9237,0.0,3651,0.7009022845075831,400,0,0,5209,0,0,5209,0,1110,307,141,0.2130927241313112,0.058936456133614895,0.02706853522749088
solana,0.3,10,25,310345.96,208.64,178.11195049241348,238.69558527835383,264.5071840495599,0.0,521.5999999999999,5.5751,31.2042,0.0,3673,0.7041794478527608,400,0,0,5216,0,0,5216,0,1071,308,164,0.205329754601227,0.059049079754601226,0.03144171779141104
solana,0.35,1,25,356295.72,209.16,159.26972344115134,230.5983338594213,252.2620015743911,0.0,522.9,6.4346,39.7762,0.0,3388,0.6479250334672021,400,0,0,5229,0,0,5229,0,1274,373,194,0.24364123159303883,0.07133295085102315,0.0371007840887359
solana,0.35,2,25,337267.52,210.0,169.49102504366175,252.89383399400825,272.17543518025997,0.08,525.0,7.1072,44.4553,0.0,3414,0.6502857142857142,400,0,0,5250,0,0,5250,0,1295,379,162,0.24666666666666667,0.0721904761904762,0.030857142857142857
solana,0.35,3,25,337576.44,207.8,144.52297370790905,223.69211795896908,253.21005995035418,0.0,519.5,6.7064,36.9456,0.0,3403,0.6550529355149182,400,0,0,5195,0,0,5195,0,1268,349,175,0.2440808469682387,0.06717998075072185,0.03368623676612127
solana,0.35,4,25,354615.6,207.72,155.92988916670785,236.90444916056728,259.25825988770305,0.04,519.3,6.9937,39.1684,0.0,3399,0.6545349508954361,400,0,0,5193,0,0,5193,0,1242,350,202,0.2391681109185442,0.06739842095128057,0.03889851723473907
solana,0.35,5,25,353593.76,203.68,191.9279757465417,264.3907285898285,280.60525892161564,0.04,509.20000000000005,7.0218,31.2086,0.0,3251,0.6384524744697565,400,0,0,5092,0,0,5092,0,1257,397,187,0.24685781618224667,0.07796543597800472,0.03672427336999214
solana,0.35,6,25,336080.44,210.24,152.5329949448532,231.34650276271248,249.6312889357557,0.0,525.6,6.2049,28.0513,0.0,3422,0.6510654490106544,400,0,0,5256,0,0,5256,0,1304,367,163,0.2480974124809741,0.06982496194824962,0.031012176560121764
solana,0.35,7,25,341512.16,209.24,186.5365878729288,275.33554576051415,292.24348299966533,0.0,523.1,6.5837,26.3093,0.0,3342,0.6388835786656472,400,0,0,5231,0,0,5231,0,1361,359,169,0.260179697954502,0.06862932517683043,0.032307398203020456
solana,0.35,8,25,342896.04,210.96,180.23981240878314,254.56973855770644,272.8757931787389,0.04,527.4,6.5111,35.7968,0.0,3467,0.6573758058399697,400,0,0,5274,0,0,5274,0,1270,359,178,0.24080394387561624,0.06806977626090253,0.03375047402351156
solana,0.35,9,25,339833.8,208.36,141.34084216511326,224.45282907451465,242.10989938756876,0.0,520.9000000000001,5.6128,35.6811,0.0,3400,0.6527164522941064,400,0,0,5209,0,0,5209,0,1281,352,176,0.24592052217316185,0.06757535035515454,0.03378767517757727
solana,0.35,10,25,351185.4,208.64,164.69787622783778,236.10028076140176,253.06522069762738,0.0,521.5999999999999,6.2955,36.7323,0.0,3402,0.6522239263803681,400,0,0,5216,0,0,5216,0,1260,363,191,0.2415644171779141,0.06959355828220859,0.0366180981595092
solana,0.4,1,25,400839.16,209.16,154.26071507882347,226.13999087392702,253.58807455015491,0.0,522.9,7.0978,42.0732,0.0,3077,0.5884490342321668,400,0,0,5229,0,0,5229,0,1481,454,217,0.2832281506980302,0.08682348441384585,0.041499330655957165
