chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,verification_failures,block_time_ms,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,mempool_final_size_bytes,mempool_final_tx_count,total_tx_generated,algo_counts_Ed25519,algo_distribution_Ed25519,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.3,2,25,4175697.28,1663.16,172.36827758271872,329.51999212207227,375.3151487596733,0.2,4157.900000000001,99.3778,387.6562,0.0,0,400,41579,0,0,0,0,41579,29015,0.6978282305971765,3749,6214,2601,0.09016570865100171,0.14945044373361552,0.0625556170182063
solana,0.3,3,25,4085042.16,1659.4,147.92579051976517,312.2481484399961,370.43224469548625,0.08,4148.5,86.7507,361.7499,0.0,0,400,41485,0,0,0,0,41485,29133,0.7022538266843438,3726,6124,2502,0.0898155959985537,0.1476196215499578,0.06031095576714475
solana,0.3,4,25,4070707.04,1650.92,169.17015202155395,308.1417946390073,353.6228923323847,0.12,4127.3,81.1728,418.0414,0.001623,3,400,41273,0,0,0,0,41273,28937,0.701112107188719,3711,6142,2483,0.08991350277421074,0.14881399462118092,0.06016039541588932
solana,0.3,5,25,4134907.8,1662.32,171.5337046146513,305.3435554871227,378.8945113375734,0.12,4155.8,87.1911,404.0573,0.001082,2,400,41558,0,0,0,0,41558,29015,0.6981808556715915,3712,6311,2520,0.0893209490350835,0.151860051013042,0.060638144280282975
solana,0.3,6,25,4126165.44,1668.56,161.0030299690814,307.81316288426314,350.70779988975187,0.08,4171.4,83.8736,355.0913,0.0,0,400,41714,0,0,0,0,41714,29155,0.6989260200412332,3890,6156,2513,0.09325406338399578,0.14757635326269358,0.06024356331207748
solana,0.3,7,25,4168669.44,1677.72,197.74273745633727,364.0500523616941,445.5669510610419,0.24,4194.3,88.0394,342.3595,0.0,0,400,41943,0,0,0,0,41943,29306,0.6987101542569678,3712,6386,2539,0.08850106096368882,0.15225424981522542,0.06053453496411797
solana,0.3,8,25,4130923.72,1667.24,185.1524007566187,353.6083969014047,400.68185425497927,0.36,4168.1,82.6937,365.5589,0.0,0,400,41681,0,0,0,0,41681,29068,0.6973920971185912,3801,6323,2489,0.09119262973537104,0.15169981526354934,0.05971545788248842
solana,0.3,9,25,4144814.28,1671.76,144.15024822684202,291.9640906008849,347.2423560181006,0.04,4179.4,72.379,338.069,0.0,0,400,41794,0,0,0,0,41794,29130,0.6969899985643873,3795,6377,2492,0.09080250753696703,0.15258171029334355,0.0596257836053022
solana,0.3,10,25,4137571.0,1667.84,152.9662243419827,301.3570292330152,355.3614321872745,0.04,4169.599999999999,76.7911,405.109,0.000541,1,400,41696,0,0,0,0,41696,29111,0.6981724865694551,3764,6311,2510,0.09027244819646968,0.15135744435917114,0.060197620874904066
solana,0.35,1,25,4713484.08,1668.52,146.6936212115504,328.63222278611994,385.4229725837301,0.16,4171.3,89.4002,385.9192,0.0,0,400,41713,0,0,0,0,41713,27221,0.652578332893822,4330,7196,2966,0.10380456931891736,0.17251216647088438,0.07110493131637619
